date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
23:02:51	31981/31981	U-----	200	untouched ('OK')	text/html	date:Sat,%2002%20Dec%202017%2006:55:06%20GMT	http://teacherweb.com/CA/AlhambraHighSChool/Padilla/h5.aspx	C:/My%20Web%20Sites/padilla/teacherweb.com/CA/AlhambraHighSChool/Padilla/h5.html	(from )
23:02:51	192/192	---M--	302	error ('Found')	text/html	date:Sat,%2002%20Dec%202017%2007:02:47%20GMT	http://teacherweb.com/CA/AlhambraHighSChool/Padilla/update.aspx	C:/My%20Web%20Sites/padilla/teacherweb.com/CA/AlhambraHighSChool/Padilla/update.0.delayed	(from http://teacherweb.com/CA/AlhambraHighSChool/Padilla/h5.aspx)
23:02:51	1022/1022	U-----	200	untouched ('OK')	application/x-javascript	etag:%226ff1791c9c20d11:0%22	http://teacherweb.com/assets/js/googleanalytics.js	C:/My%20Web%20Sites/padilla/teacherweb.com/assets/js/googleanalytics.js	(from http://teacherweb.com/CA/AlhambraHighSChool/Padilla/h5.aspx)
23:02:51	845/845	U-----	200	untouched ('OK')	text/css	date:Thu,%2008%20Oct%202009%2004:08:03%20GMT	http://teacherweb.com/CA/AlhambraHighSChool/Padilla/__web.css	C:/My%20Web%20Sites/padilla/teacherweb.com/CA/AlhambraHighSChool/Padilla/__web.css	(from http://teacherweb.com/CA/AlhambraHighSChool/Padilla/h5.aspx)
23:02:52	1947/1947	U-----	200	untouched ('')	image/gif	etag:%226081945ee181c11:0%22	http://teacherweb.com/images/twlogo2.gif	C:/My%20Web%20Sites/padilla/teacherweb.com/images/twlogo2.gif	(from http://teacherweb.com/CA/AlhambraHighSChool/Padilla/h5.aspx)
23:02:52	11557/11557	U-----	200	untouched ('OK')	text/html	date:Sat,%2002%20Dec%202017%2006:55:09%20GMT	http://teacherweb.com/CA/AlhambraHighSChool/Padilla/index.html	C:/My%20Web%20Sites/padilla/teacherweb.com/CA/AlhambraHighSChool/Padilla/index.html	(from http://teacherweb.com/CA/AlhambraHighSChool/Padilla/h5.aspx)
23:02:52	8767/8767	U-----	200	untouched ('OK')	text/html	date:Sat,%2002%20Dec%202017%2006:55:09%20GMT	http://teacherweb.com/CA/AlhambraHighSChool/Padilla/t.aspx	C:/My%20Web%20Sites/padilla/teacherweb.com/CA/AlhambraHighSChool/Padilla/t.html	(from http://teacherweb.com/CA/AlhambraHighSChool/Padilla/h5.aspx)
23:02:52	12172/12172	U-----	200	untouched ('OK')	text/html	date:Sat,%2002%20Dec%202017%2006:55:09%20GMT	http://teacherweb.com/CA/AlhambraHighSChool/Padilla/table0.aspx	C:/My%20Web%20Sites/padilla/teacherweb.com/CA/AlhambraHighSChool/Padilla/table0.html	(from http://teacherweb.com/CA/AlhambraHighSChool/Padilla/h5.aspx)
23:02:53	10600/10600	U-----	200	untouched ('OK')	text/html	date:Sat,%2002%20Dec%202017%2006:55:09%20GMT	http://teacherweb.com/CA/AlhambraHighSChool/Padilla/list0.aspx	C:/My%20Web%20Sites/padilla/teacherweb.com/CA/AlhambraHighSChool/Padilla/list0.html	(from http://teacherweb.com/CA/AlhambraHighSChool/Padilla/h5.aspx)
23:02:53	25377/25377	U-----	200	untouched ('OK')	text/html	date:Sat,%2002%20Dec%202017%2006:55:10%20GMT	http://teacherweb.com/CA/AlhambraHighSChool/Padilla/apt1.aspx	C:/My%20Web%20Sites/padilla/teacherweb.com/CA/AlhambraHighSChool/Padilla/apt1.html	(from http://teacherweb.com/CA/AlhambraHighSChool/Padilla/h5.aspx)
23:02:54	18689/18689	U-----	200	untouched ('OK')	text/html	date:Sat,%2002%20Dec%202017%2006:55:11%20GMT	http://teacherweb.com/CA/AlhambraHighSChool/Padilla/photo4.aspx	C:/My%20Web%20Sites/padilla/teacherweb.com/CA/AlhambraHighSChool/Padilla/photo4.html	(from http://teacherweb.com/CA/AlhambraHighSChool/Padilla/h5.aspx)
23:02:54	29804/29804	U-----	200	untouched ('OK')	text/html	date:Sat,%2002%20Dec%202017%2006:55:12%20GMT	http://teacherweb.com/CA/AlhambraHighSChool/Padilla/h2.aspx	C:/My%20Web%20Sites/padilla/teacherweb.com/CA/AlhambraHighSChool/Padilla/h2.html	(from http://teacherweb.com/CA/AlhambraHighSChool/Padilla/h5.aspx)
23:02:54	7861/7861	U-----	200	untouched ('OK')	text/html	date:Sat,%2002%20Dec%202017%2006:55:11%20GMT	http://teacherweb.com/CA/AlhambraHighSChool/Padilla/h3.aspx	C:/My%20Web%20Sites/padilla/teacherweb.com/CA/AlhambraHighSChool/Padilla/h3.html	(from http://teacherweb.com/CA/AlhambraHighSChool/Padilla/h5.aspx)
23:02:55	17591/17591	U-----	200	untouched ('OK')	text/html	date:Sat,%2002%20Dec%202017%2006:55:11%20GMT	http://teacherweb.com/CA/AlhambraHighSChool/Padilla/h1.aspx	C:/My%20Web%20Sites/padilla/teacherweb.com/CA/AlhambraHighSChool/Padilla/h1.html	(from http://teacherweb.com/CA/AlhambraHighSChool/Padilla/h5.aspx)
23:02:55	8626/8626	U-----	200	untouched ('OK')	text/html	date:Sat,%2002%20Dec%202017%2006:55:12%20GMT	http://teacherweb.com/CA/AlhambraHighSChool/Padilla/h4.aspx	C:/My%20Web%20Sites/padilla/teacherweb.com/CA/AlhambraHighSChool/Padilla/h4.html	(from http://teacherweb.com/CA/AlhambraHighSChool/Padilla/h5.aspx)
23:02:55	354/354	---M-Z	404	error ('Not%20Found')	text/html	date:Sat,%2002%20Dec%202017%2007:02:54%20GMT	http://www.dillydust.com/A_Rulebook_for_Arguments__3rd_Ed_.pdf	C:/My%20Web%20Sites/padilla/www.dillydust.com/A_Rulebook_for_Arguments__3rd_Ed_.3.delayed	(from http://teacherweb.com/CA/AlhambraHighSChool/Padilla/apt1.aspx)
23:02:55	11365/11365	U-----	200	untouched ('OK')	text/html	date:Sat,%2002%20Dec%202017%2006:55:13%20GMT	http://teacherweb.com/CA/AlhambraHighSChool/Padilla/photo3.aspx	C:/My%20Web%20Sites/padilla/teacherweb.com/CA/AlhambraHighSChool/Padilla/photo3.html	(from http://teacherweb.com/CA/AlhambraHighSChool/Padilla/h5.aspx)
23:02:56	17413/17413	U-----	200	untouched ('OK')	text/html	date:Sat,%2002%20Dec%202017%2006:55:12%20GMT	http://teacherweb.com/CA/AlhambraHighSChool/Padilla/links3.aspx	C:/My%20Web%20Sites/padilla/teacherweb.com/CA/AlhambraHighSChool/Padilla/links3.html	(from http://teacherweb.com/CA/AlhambraHighSChool/Padilla/h5.aspx)
23:02:56	11/11	---M--	400	error ('Bad%20Request')	text/html	date:Sat,%2002%20Dec%202017%2007:02:51%20GMT	http://teacherweb.com/CA/AlhambraHighSChool/Padilla/The%20link:%20http://www.ibiblio.org/ebooks/Poe/Red_Death.pdf	C:/My%20Web%20Sites/padilla/teacherweb.com/CA/AlhambraHighSChool/Padilla/The%20link_%20http_/www.ibiblio.org/ebooks/Poe/Red_Death.4.delayed	(from http://teacherweb.com/CA/AlhambraHighSChool/Padilla/apt1.aspx)
23:02:57	18377/18377	U-----	200	untouched ('OK')	text/html	date:Sat,%2002%20Dec%202017%2006:55:14%20GMT	http://teacherweb.com/CA/AlhambraHighSChool/Padilla/photo1.aspx	C:/My%20Web%20Sites/padilla/teacherweb.com/CA/AlhambraHighSChool/Padilla/photo1.html	(from http://teacherweb.com/CA/AlhambraHighSChool/Padilla/h5.aspx)
23:02:57	26308/26308	U-----	200	untouched ('OK')	text/html	date:Sat,%2002%20Dec%202017%2006:55:15%20GMT	http://teacherweb.com/CA/AlhambraHighSChool/Padilla/apt2.aspx	C:/My%20Web%20Sites/padilla/teacherweb.com/CA/AlhambraHighSChool/Padilla/apt2.html	(from http://teacherweb.com/CA/AlhambraHighSChool/Padilla/h5.aspx)
